Country,Total_Benefits,Cash,Services,Tax_Breaks,Childcare_0_2,Childcare_3_5,Early_Education,Fertility_Rate
France,3.4396012813546495,1.3357848898625104,1.3766771766383978,0.7271392148537414,1.2648417295759786,0.5975726472585109,0.6672690823174677,1.639
Sweden,3.420960824460077,1.290414187684259,2.130546636775818,0.0,1.5635929715586996,1.0298004661341777,0.5337925054245221,1.43
Denmark,3.3133671079918887,1.2689974838906795,2.044369624101209,0.0,1.2381408970045151,0.7961111260748636,0.4420297709296516,1.511
Norway,3.276840614409943,1.2249736213211566,1.9620672353236328,0.08979975776515343,1.3760631449446665,0.6536550547101917,0.7224080902344748,1.405
Germany,3.240881891909875,1.075665157805635,1.3440861536121376,0.8211305804921025,0.7507805819014105,0.24352478017770052,0.50725580172371,1.441
Belgium,3.1760964899473683,1.6614155163873119,1.1093500814055286,0.4053308921545278,0.8079364406498311,0.1332696273766103,0.6746668132732206,1.379
Hungary,3.0907472660707853,1.3573737008635067,1.0349139830559029,0.6984595821513758,0.662989448529626,0.11563495608408982,0.5473544924455361,1.486
Finland,2.889907261796563,1.1068570112316454,1.7830502505649177,0.0,1.129153499153666,0.5350531283489258,0.5941003708047401,1.28
New Zealand,2.649646417268918,1.4416996175536398,1.207946799715278,0.0,0.851513891425236,0.05400920464121346,0.7975046867840224,1.667
United Kingdom,2.4864898366883743,1.4405097231303738,0.9679105633586707,0.07806955019932982,0.516793812831414,0.041338358689352955,0.47545545414206114,1.56
Lithuania,2.460233925665617,1.471179620412416,0.9890543052532014,0.0,0.8830436466083872,0.15492984324354525,0.7281138033648419,1.201
Latvia,2.266011197721003,1.3722714574260597,0.880786363966087,0.012953376328856169,0.8016522421197414,0.15155386677461335,0.6500983753451282,1.338
Italy,1.87040991156631,0.7617022456106525,0.6570184284225037,0.45168923753315593,0.5646234172633015,0.07814614196838554,0.48647727529491586,1.198
Netherlands,1.8616309966730418,0.7218453856135194,0.8528431532922126,0.2869424577673097,0.7309571800185719,0.3811550264127273,0.34980215360584466,1.43
Colombia,1.7526611500394316,0.24952172879475656,1.503139421244675,0.0,0.41432247742597644,0.16100612239826328,0.25331635502771316,1.645
Spain,1.4752523669126856,0.5434478818684079,0.7309820359618283,0.20082244908244926,0.47360426238071324,0.02028689422400808,0.4533173681567051,1.213
United States,1.0377030079877816,0.0574305092551052,0.5611663517058708,0.4191061470268057,0.34359867150053525,0.0492838476770722,0.294314823823463,1.624
Mexico,0.6258779111111888,0.09989896824607337,0.5259789428651155,0.0,0.4952845818774158,0.022900618045250846,0.47238396383216497,1.91
